Fecha,Contenido,Título del vídeo,Hora de publicación del vídeo,Duración,Suscriptores perdidos
2025-09-22,dS2zwX9lvOY,El SENTIDO DE LA VIDA según Marco Aurelio | Filosofía para la vida,"Feb 28, 2025",391,0
2025-09-23,dS2zwX9lvOY,El SENTIDO DE LA VIDA según Marco Aurelio | Filosofía para la vida,"Feb 28, 2025",391,0
2025-09-24,dS2zwX9lvOY,El SENTIDO DE LA VIDA según Marco Aurelio | Filosofía para la vida,"Feb 28, 2025",391,0
2025-09-25,dS2zwX9lvOY,El SENTIDO DE LA VIDA según Marco Aurelio | Filosofía para la vida,"Feb 28, 2025",391,0
2025-09-26,dS2zwX9lvOY,El SENTIDO DE LA VIDA según Marco Aurelio | Filosofía para la vida,"Feb 28, 2025",391,0
2025-09-27,dS2zwX9lvOY,El SENTIDO DE LA VIDA según Marco Aurelio | Filosofía para la vida,"Feb 28, 2025",391,0
2025-09-28,dS2zwX9lvOY,El SENTIDO DE LA VIDA según Marco Aurelio | Filosofía para la vida,"Feb 28, 2025",391,0
2025-09-29,dS2zwX9lvOY,El SENTIDO DE LA VIDA según Marco Aurelio | Filosofía para la vida,"Feb 28, 2025",391,0
2025-09-30,dS2zwX9lvOY,El SENTIDO DE LA VIDA según Marco Aurelio | Filosofía para la vida,"Feb 28, 2025",391,0
2025-10-01,dS2zwX9lvOY,El SENTIDO DE LA VIDA según Marco Aurelio | Filosofía para la vida,"Feb 28, 2025",391,0
2025-10-02,dS2zwX9lvOY,El SENTIDO DE LA VIDA según Marco Aurelio | Filosofía para la vida,"Feb 28, 2025",391,0
2025-10-03,dS2zwX9lvOY,El SENTIDO DE LA VIDA según Marco Aurelio | Filosofía para la vida,"Feb 28, 2025",391,0
2025-10-04,dS2zwX9lvOY,El SENTIDO DE LA VIDA según Marco Aurelio | Filosofía para la vida,"Feb 28, 2025",391,0
2025-10-05,dS2zwX9lvOY,El SENTIDO DE LA VIDA según Marco Aurelio | Filosofía para la vida,"Feb 28, 2025",391,0
